index,weight,wrongPoints,totalPoints,accAccuracy,accuracy
1,0.5,14,56,0.75,0.75
2,0.5,4,224,0.9196428571428571,0.9821428571428571
3,0.5,0,295,0.9389830508474576,1.0
4,0.5,7,477,0.9475890985324947,0.9853249475890985
5,0.5,13,794,0.9521410579345088,0.9836272040302267
6,0.5,65,1420,0.9274647887323944,0.954225352112676
7,0.5,4,1498,0.9285714285714286,0.9973297730307076
8,0.5,16,1830,0.9327868852459016,0.9912568306010929
9,0.5,17,2154,0.9350046425255338,0.9921077065923862
10,0.5,1,2185,0.9354691075514874,0.9995423340961098
